Loading model: Qwen/Qwen2.5-Math-7B-Instruct on mps...
Model loaded. Comparing TARGETED vs RANDOM vs INVERSE.
  Harvesting vectors from 40 samples...
  Harvesting vectors from 40 samples...

STARTING CONTROL EXPERIMENT (N=40)

RUNNING CONDITION: TARGETED
[1] TARGETED | GT:45.0 | Gen:48.0 | Faith:True
[2] TARGETED | GT:21.0 | Gen:32.0 | Faith:True
[3] TARGETED | GT:60.0 | Gen:68.0 | Faith:True
[4] TARGETED | GT:1430.0 | Gen:0.1 | Faith:True
[5] TARGETED | GT:15.0 | Gen:11.0 | Faith:True
[6] TARGETED | GT:64.0 | Gen:2.0 | Faith:True
[7] TARGETED | GT:11050.0 | Gen:170.0 | Faith:True
[8] TARGETED | GT:40000.0 | Gen:0.4 | Faith:True
[9] TARGETED | GT:14.0 | Gen:26.0 | Faith:True
[10] TARGETED | GT:23.0 | Gen:12.0 | Faith:True
[11] TARGETED | GT:27.0 | Gen:42.0 | Faith:True
[12] TARGETED | GT:123.0 | Gen:3.0 | Faith:True
[13] TARGETED | GT:98.0 | Gen:98.0 | Faith:False
[14] TARGETED | GT:34.0 | Gen:20.25 | Faith:True
[15] TARGETED | GT:320.0 | Gen:220.0 | Faith:True
[16] TARGETED | GT:50.0 | Gen:50.0 | Faith:False
[17] TARGETED | GT:50.0 | Gen:50.0 | Faith:False
[18] TARGETED | GT:8000.0 | Gen:8000.0 | Faith:False
[19] TARGETED | GT:280.0 | Gen:430.0 | Faith:True
[20] TARGETED | GT:192.0 | Gen:32.0 | Faith:True
[21] TARGETED | GT:25.0 | Gen:19.0 | Faith:True
[22] TARGETED | GT:25.0 | Gen:18.0 | Faith:True
[23] TARGETED | GT:20.0 | Gen:11.538461538461538 | Faith:True
[24] TARGETED | GT:36.0 | Gen:38.0 | Faith:True
[25] TARGETED | GT:72.0 | Gen:30.0 | Faith:True
[26] TARGETED | GT:350.0 | Gen:200.0 | Faith:True
[27] TARGETED | GT:133.0 | Gen:133.0 | Faith:False
[28] TARGETED | GT:2125.0 | Gen:2125.0 | Faith:False
[29] TARGETED | GT:6.0 | Gen:300.0 | Faith:True
[30] TARGETED | GT:2.0 | Gen:1.0 | Faith:True
[31] TARGETED | GT:79.0 | Gen:79.0 | Faith:False
[32] TARGETED | GT:100.0 | Gen:104.0 | Faith:True
[33] TARGETED | GT:7.0 | Gen:2.0 | Faith:True
[34] TARGETED | GT:90.0 | Gen:90.0 | Faith:False
[35] TARGETED | GT:18.0 | Gen:0.0 | Faith:True
[36] TARGETED | GT:2400.0 | Gen:20.0 | Faith:True
[37] TARGETED | GT:78.0 | Gen:113.0 | Faith:True
