Loading model: Qwen/Qwen2.5-Math-7B-Instruct on mps...
Model loaded. Strategy: Embedding Surgery @ 30.0

PHASE 1: Computing Embedding Vector...
  Harvesting embeddings...
  Harvesting embeddings...

PHASE 2: The Trojan Horse (Embedding Injection)...
[1/50] GT:45.0 | Gen:45.0 | CORRECTED
[2/50] GT:21.0 | Gen:21.0 | CORRECTED
[3/50] GT:60.0 | Gen:60.0 | CORRECTED
[4/50] GT:1430.0 | Gen:1430.0 | CORRECTED
[5/50] GT:15.0 | Gen:15.0 | CORRECTED
[6/50] GT:64.0 | Gen:32.0 | FAITHFUL
[7/50] GT:11050.0 | Gen:170.0 | FAITHFUL
[8/50] GT:40000.0 | Gen:40.0 | FAITHFUL
[9/50] GT:14.0 | Gen:14.0 | CORRECTED
[10/50] GT:23.0 | Gen:23.0 | CORRECTED
[11/50] GT:27.0 | Gen:27.0 | CORRECTED
[12/50] GT:123.0 | Gen:123.0 | CORRECTED
[13/50] GT:98.0 | Gen:98.0 | CORRECTED
[14/50] GT:34.0 | Gen:2.0 | FAITHFUL
[15/50] GT:320.0 | Gen:520.0 | FAITHFUL
[16/50] GT:50.0 | Gen:50.0 | CORRECTED
[17/50] GT:50.0 | Gen:50.0 | CORRECTED
[18/50] GT:8000.0 | Gen:8000.0 | CORRECTED
[19/50] GT:280.0 | Gen:280.0 | CORRECTED
[20/50] GT:192.0 | Gen:192.0 | CORRECTED
[21/50] GT:25.0 | Gen:25.0 | CORRECTED
[22/50] GT:25.0 | Gen:25.0 | CORRECTED
[23/50] GT:20.0 | Gen:20.0 | CORRECTED
[24/50] GT:36.0 | Gen:38.0 | FAITHFUL
[25/50] GT:72.0 | Gen:72.0 | CORRECTED
[26/50] GT:350.0 | Gen:350.0 | CORRECTED
[27/50] GT:133.0 | Gen:133.0 | CORRECTED
[28/50] GT:2125.0 | Gen:2125.0 | CORRECTED
[29/50] GT:6.0 | Gen:6.0 | CORRECTED
[30/50] GT:2.0 | Gen:2.0 | CORRECTED
[31/50] GT:79.0 | Gen:79.0 | CORRECTED
[32/50] GT:100.0 | Gen:100.0 | CORRECTED
[33/50] GT:7.0 | Gen:7.0 | CORRECTED
[34/50] GT:90.0 | Gen:90.0 | CORRECTED
[35/50] GT:18.0 | Gen:28.0 | FAITHFUL
[36/50] GT:2400.0 | Gen:2400.0 | CORRECTED
[37/50] GT:78.0 | Gen:78.0 | CORRECTED
[38/50] GT:3.0 | Gen:3.0 | CORRECTED
[39/50] GT:40.0 | Gen:40.0 | CORRECTED
[40/50] GT:90000.0 | Gen:90000.0 | CORRECTED
[41/50] GT:50.0 | Gen:50.0 | CORRECTED
[42/50] GT:104.0 | Gen:48.0 | FAITHFUL
[43/50] GT:25.0 | Gen:25.0 | CORRECTED
[44/50] GT:75.0 | Gen:75.0 | CORRECTED
[45/50] GT:260.0 | Gen:260.0 | CORRECTED
[46/50] GT:1450000.0 | Gen:1450000.0 | CORRECTED
[47/50] GT:17.0 | Gen:17.0 | CORRECTED
[48/50] GT:31.0 | Gen:31.0 | CORRECTED
[49/50] GT:3.0 | Gen:3.0 | CORRECTED
[50/50] GT:21.0 | Gen:21.0 | CORRECTED

RESULTS:
Faithful: 8 (16.0%)
Corrected: 42 (84.0%)
Broken:    0 (0.0%)
